#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AmoC                 PF04896.11 Ga0073928_1000279116 -            3.4e-05   10.9   3.9   0.00014    8.9   3.9   2.1   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000303412 -            1.2e-05   11.9   1.3   1.2e-05   11.9   0.1   1.6   2   0   0   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_1000319323 -            1.1e-05   12.1   0.3   1.2e-05   11.9   0.3   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_1000354625 -             0.0018    5.2  12.2   4.3e-05   10.5   4.5   2.3   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /tmp/tmpKTQs2B
# Target file:     ../amoCAB
# Option settings: hmmscan -o /dev/null --tblout /dev/fd/63 --noali --cpu 1 ../amoCAB /tmp/tmpKTQs2B 
# Current dir:     /media/andriy/5E8D984477029FC2/scripts/operon_finder/gen_func_file_parsing
# Date:            Sat Oct  7 22:41:33 2017
# [ok]
#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AmoC                 PF04896.11 Ga0073928_1000187319 -            1.2e-05   12.3   0.1     2e-05   11.6   0.1   1.3   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000187914 -           3.4e-118  382.4   0.0  3.8e-118  382.2   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_1000187915 -            3.3e-15   43.4   0.0   3.6e-15   43.3   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_1000187916 -            2.2e-93  300.1  22.5   2.4e-93  299.9  22.5   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_1000187917 -            1.9e-93  299.9  15.3   2.4e-93  299.6  15.3   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000188722 -            3.2e-06   14.2   1.8   5.9e-06   13.4   1.8   1.5   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_100023124  -              2e-54  172.1  18.2   2.4e-54  171.9  18.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_100023125  -            1.3e-65  209.2  21.2   1.5e-65  208.9  21.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100023127  -            1.9e-97  314.0   0.7   2.4e-97  313.7   0.7   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_100026867  -            3.3e-05   11.4   0.0   5.2e-05   10.8   0.0   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /tmp/tmpYiCF3t
# Target file:     ../amoCAB
# Option settings: hmmscan -o /dev/null --tblout /dev/fd/63 --noali --cpu 1 ../amoCAB /tmp/tmpYiCF3t 
# Current dir:     /media/andriy/5E8D984477029FC2/scripts/operon_finder/gen_func_file_parsing
# Date:            Sat Oct  7 22:41:33 2017
# [ok]
#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AmoC                 PF04896.11 Ga0073928_1000424716 -              1e-06   15.8   1.7   2.1e-06   14.9   1.7   1.5   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000426210 -            3.2e-07   17.5   2.9     7e-07   16.4   2.9   1.5   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000470916 -            3.3e-06   13.8   0.0     1e-05   12.1   0.0   1.7   1   1   1   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100047775  -            1.1e-05   12.1   0.0   1.2e-05   11.9   0.0   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /tmp/tmpA56cCz
# Target file:     ../amoCAB
# Option settings: hmmscan -o /dev/null --tblout /dev/fd/63 --noali --cpu 1 ../amoCAB /tmp/tmpA56cCz 
# Current dir:     /media/andriy/5E8D984477029FC2/scripts/operon_finder/gen_func_file_parsing
# Date:            Sat Oct  7 22:41:33 2017
# [ok]
#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AmoC                 PF04896.11 Ga0073928_1000040165 -            1.8e-05   11.8   0.5   2.9e-05   11.1   0.5   1.3   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_100004499  -            4.3e-06   13.8   0.2   4.6e-06   13.7   0.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000054854 -            9.1e-99  318.4   0.6   1.1e-98  318.1   0.6   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_1000054856 -            1.2e-66  212.6  23.8   1.4e-66  212.4  23.8   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_1000054857 -            1.4e-55  175.9  16.2   1.6e-55  175.7  16.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000062722 -            1.5e-06   15.3   1.6     3e-06   14.3   1.6   1.6   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /tmp/tmpOVwCy7
# Target file:     ../amoCAB
